NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
3;Toyota GR86;Am;23;1:54.171;22;1:54.375;17;1:54.530;10;1:54.549;4;1:54.583;9;1:54.625;21;1:54.651;15;1:54.662;11;1:54.824;20;1:54.966;23;1:54.593
72;Toyota GR86;Am;23;1:51.668;12;1:52.316;9;1:52.357;19;1:52.484;17;1:52.509;4;1:52.636;11;1:52.677;10;1:52.810;3;1:52.821;13;1:53.011;16;1:52.528
55;Toyota GR86;Am;23;1:51.985;17;1:52.167;12;1:52.177;20;1:52.198;14;1:52.225;21;1:52.292;23;1:52.309;15;1:52.318;22;1:52.319;16;1:52.327;18;1:52.231
88;Toyota GR86;Am;23;1:52.465;20;1:52.554;19;1:52.626;4;1:52.752;15;1:52.828;14;1:52.949;12;1:53.041;18;1:53.060;22;1:53.105;16;1:53.162;13;1:52.854
98;Toyota GR86;Am;23;1:52.300;16;1:52.340;15;1:52.388;17;1:52.397;20;1:52.407;19;1:52.524;13;1:52.546;21;1:52.620;14;1:52.631;11;1:52.724;23;1:52.487
51;Toyota GR86;Am;23;1:53.955;23;1:54.354;15;1:54.517;21;1:54.558;14;1:54.571;10;1:54.571;19;1:54.736;13;1:54.894;12;1:54.905;18;1:54.994;17;1:54.605
13;Toyota GR86;Am;23;1:51.724;17;1:51.808;18;1:51.985;19;1:51.989;15;1:52.021;23;1:52.038;16;1:52.064;20;1:52.356;12;1:52.363;11;1:52.363;14;1:52.071
46;Toyota GR86;Am;23;1:52.073;19;1:52.075;18;1:52.086;9;1:52.092;16;1:52.133;20;1:52.190;14;1:52.196;17;1:52.214;13;1:52.277;23;1:52.322;15;1:52.165
7;Toyota GR86;Am;23;1:52.156;20;1:52.265;4;1:52.285;14;1:52.384;22;1:52.469;23;1:52.539;17;1:52.590;9;1:52.594;10;1:52.686;19;1:52.742;3;1:52.471
2;Toyota GR86;Am;23;1:52.039;18;1:52.084;16;1:52.170;21;1:52.218;19;1:52.257;12;1:52.260;23;1:52.290;20;1:52.334;14;1:52.339;15;1:52.376;17;1:52.236
71;Toyota GR86;Am;23;1:52.760;13;1:52.773;14;1:52.776;21;1:52.796;20;1:52.889;22;1:52.996;15;1:53.040;16;1:53.069;19;1:53.227;17;1:53.362;4;1:52.968
14;Toyota GR86;Am;23;1:53.568;10;1:54.020;9;1:54.215;16;1:54.321;13;1:54.396;4;1:54.429;11;1:54.519;19;1:54.535;15;1:54.557;17;1:55.155;3;1:54.371
73;Toyota GR86;Am;23;1:54.289;10;1:54.341;18;1:54.364;22;1:54.379;13;1:54.386;11;1:54.600;21;1:54.605;15;1:54.833;9;1:55.009;17;1:55.012;20;1:54.581
78;Toyota GR86;Am;23;1:52.020;17;1:52.028;20;1:52.037;21;1:52.110;18;1:52.122;22;1:52.224;19;1:52.245;15;1:52.497;16;1:52.544;14;1:52.575;13;1:52.240
31;Toyota GR86;Am;23;1:52.459;14;1:52.770;21;1:52.791;15;1:52.818;17;1:52.892;13;1:53.076;20;1:53.109;19;1:53.224;16;1:53.307;9;1:53.364;23;1:52.981
21;Toyota GR86;Am;22;1:52.632;15;1:52.927;14;1:52.989;12;1:53.045;22;1:53.130;16;1:53.217;13;1:53.220;4;1:53.797;10;1:53.835;17;1:53.888;9;1:53.268
67;Toyota GR86;Am;8;1:54.607;4;1:55.336;3;2:00.360;2;2:02.904;5;2:26.468;8;2:47.438;7;2:56.771;6;;0;;0;;0;2:17.697
41;Toyota GR86;Am;4;1:53.484;4;1:54.000;3;1:56.644;2;;0;;0;;0;;0;;0;;0;;0;1:54.709
47;Toyota GR86;Am;23;1:52.612;15;1:52.697;14;1:52.733;13;1:53.002;17;1:53.177;16;1:53.453;4;1:53.488;3;1:53.765;22;1:53.824;21;1:54.002;10;1:53.275
12;Toyota GR86;Am;23;1:56.145;22;1:56.171;21;1:56.337;20;1:56.520;17;1:56.580;14;1:56.858;16;1:56.956;19;1:57.086;15;1:57.375;23;1:57.630;13;1:56.765
5;Toyota GR86;Am;14;1:54.300;9;1:54.562;14;1:54.657;10;1:55.117;6;1:55.907;13;1:56.361;12;1:58.176;7;1:59.171;5;1:59.491;8;1:59.624;11;1:56.736
