NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;PIT_TIME;CLASS;GROUP;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;INT-1_time;INT-1_elapsed;IM2a_time;IM2a_elapsed;INT-2_time;INT-2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed
3;1;20;1:54.830;0;;38.911;0;37.811;0;38.108;0;120.3;41:51.991;14:47:40.814;0:38.911;0:37.811;0:38.108;186.2;;Am;;Toyota Gazoo Racing;GF;38.911;37.811;38.108;16.267;16.267;22.644;38.911;15.746;54.657;22.065;1:16.722;14.515;1:31.237;23.593;1:54.830
3;1;21;1:55.552;0;;38.870;0;38.524;0;38.158;0;119.6;43:47.543;14:49:36.366;0:38.870;0:38.524;0:38.158;184.3;;Am;;Toyota Gazoo Racing;GF;38.87;38.524;38.158;15.870;15.870;23.0;38.870;15.913;54.783;22.611;1:17.394;14.516;1:31.910;23.642;1:55.552
3;1;22;1:55.406;0;;38.617;0;37.489;2;39.300;0;119.7;45:42.949;14:51:31.772;0:38.617;0:37.489;0:39.300;187.2;;Am;;Toyota Gazoo Racing;GF;38.617;37.489;39.3;16.053;16.053;22.564;38.617;15.728;54.345;21.761;1:16.106;15.461;1:31.567;23.839;1:55.406
3;1;23;1:54.875;0;;38.601;0;38.034;0;38.240;0;120.3;47:37.824;14:53:26.647;0:38.601;0:38.034;0:38.240;185.2;;Am;;Toyota Gazoo Racing;FF;38.601;38.034;38.24;15.967;15.967;22.634;38.601;15.959;54.560;22.075;1:16.635;14.542;1:31.177;23.698;1:54.875
11;1;1;2:44.586;0;;1:05.254;0;49.264;0;50.068;0;84.0;2:44.586;14:08:33.409;1:05.254;0:49.264;0:50.068;162.2;;Am;;Toyota Gazoo Racing;GF;65.254;49.264;50.068;;;;1:05.254;22.08;1:27.334;27.184;1:54.518;21.09;2:15.608;28.978;2:44.586
11;1;2;2:15.574;0;;43.151;0;39.654;0;52.769;0;101.9;5:00.160;14:10:48.983;0:43.151;0:39.654;0:52.769;179.1;;Am;;Toyota Gazoo Racing;GF;43.151;39.654;52.769;18.348;18.348;24.803;43.151;16.515;59.666;23.139;1:22.805;27.475;1:50.280;25.294;2:15.574
11;1;3;1:57.223;0;;39.872;0;38.947;0;38.404;0;117.9;6:57.383;14:12:46.206;0:39.872;0:38.947;0:38.404;177.0;;Am;;Toyota Gazoo Racing;GF;39.872;38.947;38.404;16.775;16.775;23.097;39.872;16.398;56.270;22.549;1:18.819;14.634;1:33.453;23.77;1:57.223
11;1;4;1:55.673;0;;39.143;0;38.131;0;38.399;0;119.5;8:53.056;14:14:41.879;0:39.143;0:38.131;0:38.399;180.0;;Am;;Toyota Gazoo Racing;GF;39.143;38.131;38.399;16.213;16.213;22.93;39.143;15.911;55.054;22.22;1:17.274;14.722;1:31.996;23.677;1:55.673
11;1;5;1:59.512;0;;40.549;0;39.904;0;39.059;0;115.6;10:52.568;14:16:41.391;0:40.549;0:39.904;0:39.059;178.2;;Am;;Toyota Gazoo Racing;FCY;40.549;39.904;39.059;16.579;16.579;23.97;40.549;16.878;57.427;23.026;1:20.453;15.003;1:35.456;24.056;1:59.512
11;1;6;2:49.448;0;;58.422;0;1:01.659;0;49.367;0;81.5;13:42.016;14:19:30.839;0:58.422;1:01.659;0:49.367;175.0;;Am;;Toyota Gazoo Racing;FCY;58.422;61.659;49.367;19.153;19.153;39.269;58.422;31.618;1:30.040;30.041;2:00.081;16.36;2:16.441;33.007;2:49.448
11;1;7;2:47.542;0;;56.348;0;59.739;0;51.455;0;82.5;16:29.558;14:22:18.381;0:56.348;0:59.739;0:51.455;146.1;;Am;;Toyota Gazoo Racing;FCY;56.348;59.739;51.455;22.222;22.222;34.126;56.348;29.383;1:25.731;30.356;1:56.087;21.111;2:17.198;30.344;2:47.542
11;1;8;2:23.630;0;;48.515;0;49.600;0;45.515;0;96.2;18:53.188;14:24:42.011;0:48.515;0:49.600;0:45.515;174.2;;Am;;Toyota Gazoo Racing;GF;48.515;49.6;45.515;22.440;22.440;26.075;48.515;23.576;1:12.091;26.024;1:38.115;15.313;1:53.428;30.202;2:23.630
11;1;9;1:55.891;0;;39.668;0;38.006;0;38.217;0;119.2;20:49.079;14:26:37.902;0:39.668;0:38.006;0:38.217;181.2;;Am;;Toyota Gazoo Racing;GF;39.668;38.006;38.217;16.769;16.769;22.899;39.668;15.735;55.403;22.271;1:17.674;14.566;1:32.240;23.651;1:55.891
11;1;10;1:56.375;0;;39.971;0;38.154;0;38.250;0;118.7;22:45.454;14:28:34.277;0:39.971;0:38.154;0:38.250;180.0;;Am;;Toyota Gazoo Racing;GF;39.971;38.154;38.25;16.077;16.077;23.894;39.971;15.916;55.887;22.238;1:18.125;14.564;1:32.689;23.686;1:56.375
11;1;11;1:56.216;0;;39.573;0;38.298;0;38.345;0;118.9;24:41.670;14:30:30.493;0:39.573;0:38.298;0:38.345;179.1;;Am;;Toyota Gazoo Racing;GF;39.573;38.298;38.345;16.849;16.849;22.724;39.573;15.838;55.411;22.46;1:17.871;14.696;1:32.567;23.649;1:56.216
11;1;12;1:56.467;0;;39.951;0;38.217;0;38.299;0;118.6;26:38.137;14:32:26.960;0:39.951;0:38.217;0:38.299;181.2;;Am;;Toyota Gazoo Racing;GF;39.951;38.217;38.299;16.274;16.274;23.677;39.951;16.099;56.050;22.118;1:18.168;14.649;1:32.817;23.65;1:56.467
11;1;13;1:55.734;0;;39.455;0;38.019;0;38.260;0;119.4;28:33.871;14:34:22.694;0:39.455;0:38.019;0:38.260;180.0;;Am;;Toyota Gazoo Racing;GF;39.455;38.019;38.26;16.178;16.178;23.277;39.455;15.906;55.361;22.113;1:17.474;14.652;1:32.126;23.608;1:55.734
11;1;14;1:54.827;0;;39.151;0;37.735;0;37.941;2;120.3;30:28.698;14:36:17.521;0:39.151;0:37.735;0:37.941;184.3;;Am;;Toyota Gazoo Racing;GF;39.151;37.735;37.941;16.200;16.200;22.951;39.151;15.784;54.935;21.951;1:16.886;14.411;1:31.297;23.53;1:54.827
11;1;15;1:54.731;0;;38.900;0;37.831;0;38.000;0;120.4;32:23.429;14:38:12.252;0:38.900;0:37.831;0:38.000;183.1;;Am;;Toyota Gazoo Racing;GF;38.9;37.831;38.0;16.270;16.270;22.63;38.900;15.774;54.674;22.057;1:16.731;14.398;1:31.129;23.602;1:54.731
11;1;16;1:55.970;0;;39.868;0;37.973;0;38.129;0;119.1;34:19.399;14:40:08.222;0:39.868;0:37.973;0:38.129;183.1;;Am;;Toyota Gazoo Racing;GF;39.868;37.973;38.129;16.136;16.136;23.732;39.868;15.876;55.744;22.097;1:17.841;14.566;1:32.407;23.563;1:55.970
11;1;17;1:55.159;0;;39.161;0;37.997;0;38.001;0;120.0;36:14.558;14:42:03.381;0:39.161;0:37.997;0:38.001;181.2;;Am;;Toyota Gazoo Racing;GF;39.161;37.997;38.001;16.090;16.090;23.071;39.161;15.923;55.084;22.074;1:17.158;14.485;1:31.643;23.516;1:55.159
11;1;18;1:56.693;0;;39.093;0;37.696;0;39.904;0;118.4;38:11.251;14:44:00.074;0:39.093;0:37.696;0:39.904;180.0;;Am;;Toyota Gazoo Racing;GF;39.093;37.696;39.904;16.271;16.271;22.822;39.093;15.699;54.792;21.997;1:16.789;16.118;1:32.907;23.786;1:56.693
11;1;19;1:55.132;0;;39.037;0;38.067;0;38.028;0;120.0;40:06.383;14:45:55.206;0:39.037;0:38.067;0:38.028;181.2;;Am;;Toyota Gazoo Racing;GF;39.037;38.067;38.028;16.296;16.296;22.741;39.037;15.719;54.756;22.348;1:17.104;14.514;1:31.618;23.514;1:55.132
11;1;20;1:54.622;0;;38.634;2;37.938;0;38.050;0;120.6;42:01.005;14:47:49.828;0:38.634;0:37.938;0:38.050;184.3;;Am;;Toyota Gazoo Racing;GF;38.634;37.938;38.05;16.014;16.014;22.62;38.634;15.854;54.488;22.084;1:16.572;14.45;1:31.022;23.6;1:54.622
11;1;21;1:54.601;0;;38.750;0;37.772;0;38.079;0;120.6;43:55.606;14:49:44.429;0:38.750;0:37.772;0:38.079;181.2;;Am;;Toyota Gazoo Racing;GF;38.75;37.772;38.079;16.150;16.150;22.6;38.750;15.791;54.541;21.981;1:16.522;14.558;1:31.080;23.521;1:54.601
11;1;22;1:54.517;2;;38.831;0;37.686;2;38.000;0;120.7;45:50.123;14:51:38.946;0:38.831;0:37.686;0:38.000;184.3;;Am;;Toyota Gazoo Racing;GF;38.831;37.686;38.0;16.038;16.038;22.793;38.831;15.65;54.481;22.036;1:16.517;14.376;1:30.893;23.624;1:54.517
11;1;23;1:55.066;0;;38.942;0;37.800;0;38.324;0;120.1;47:45.189;14:53:34.012;0:38.942;0:37.800;0:38.324;180.0;;Am;;Toyota Gazoo Racing;FF;38.942;37.8;38.324;16.072;16.072;22.87;38.942;15.706;54.648;22.094;1:16.742;14.519;1:31.261;23.805;1:55.066
113;1;1;2:43.492;0;;58.042;0;51.132;0;54.318;0;84.5;2:43.492;14:08:32.315;0:58.042;0:51.132;0:54.318;146.1;;Am;;Toyota Gazoo Racing;GF;58.042;51.132;54.318;;;;58.042;23.071;1:21.113;28.061;1:49.174;20.949;2:10.123;33.369;2:43.492
113;1;2;1:59.337;0;;42.640;0;38.285;0;38.412;0;115.8;4:42.829;14:10:31.652;0:42.640;0:38.285;0:38.412;182.1;;Am;;Toyota Gazoo Racing;GF;42.64;38.285;38.412;17.671;17.671;24.969;42.640;15.857;58.497;22.428;1:20.925;14.54;1:35.465;23.872;1:59.337
113;1;3;1:54.744;0;;38.587;0;38.080;0;38.077;0;120.4;6:37.573;14:12:26.396;0:38.587;0:38.080;0:38.077;185.2;;Am;;Toyota Gazoo Racing;GF;38.587;38.08;38.077;15.714;15.714;22.873;38.587;15.57;54.157;22.51;1:16.667;14.561;1:31.228;23.516;1:54.744
113;1;4;1:53.427;0;;38.192;0;37.357;0;37.878;0;121.8;8:31.000;14:14:19.823;0:38.192;0:37.357;0:37.878;187.2;;Am;;Toyota Gazoo Racing;GF;38.192;37.357;37.878;15.760;15.760;22.432;38.192;15.476;53.668;21.881;1:15.549;14.337;1:29.886;23.541;1:53.427
113;1;5;2:03.150;0;;37.929;0;41.911;0;43.310;0;112.2;10:34.150;14:16:22.973;0:37.929;0:41.911;0:43.310;179.1;;Am;;Toyota Gazoo Racing;FCY;37.929;41.911;43.31;15.451;15.451;22.478;37.929;17.507;55.436;24.404;1:19.840;15.947;1:35.787;27.363;2:03.150
113;1;6;2:56.865;0;;1:05.823;0;57.463;0;53.579;0;78.1;13:31.015;14:19:19.838;1:05.823;0:57.463;0:53.579;147.1;;Am;;Toyota Gazoo Racing;FCY;65.823;57.463;53.579;25.038;25.038;40.785;1:05.823;28.652;1:34.475;28.811;2:03.286;20.227;2:23.513;33.352;2:56.865
113;1;7;2:47.524;0;;55.045;0;1:00.615;0;51.864;0;82.5;16:18.539;14:22:07.362;0:55.045;1:00.615;0:51.864;134.2;;Am;;Toyota Gazoo Racing;FCY;55.045;60.615;51.864;23.253;23.253;31.792;55.045;27.201;1:22.246;33.414;1:55.660;19.308;2:14.968;32.556;2:47.524
113;1;8;2:26.856;0;;46.858;0;48.093;0;51.905;0;94.1;18:45.395;14:24:34.218;0:46.858;0:48.093;0:51.905;148.1;;Am;;Toyota Gazoo Racing;GF;46.858;48.093;51.905;21.401;21.401;25.457;46.858;23.245;1:10.103;24.848;1:34.951;19.86;1:54.811;32.045;2:26.856
113;1;9;1:53.490;0;;38.066;0;37.497;0;37.927;0;121.8;20:38.885;14:26:27.708;0:38.066;0:37.497;0:37.927;187.2;;Am;;Toyota Gazoo Racing;GF;38.066;37.497;37.927;15.760;15.760;22.306;38.066;15.58;53.646;21.917;1:15.563;14.291;1:29.854;23.636;1:53.490
113;1;10;1:53.963;0;;38.025;0;37.870;0;38.068;0;121.2;22:32.848;14:28:21.671;0:38.025;0:37.870;0:38.068;187.2;;Am;;Toyota Gazoo Racing;GF;38.025;37.87;38.068;15.626;15.626;22.399;38.025;15.664;53.689;22.206;1:15.895;14.357;1:30.252;23.711;1:53.963
113;1;11;1:55.076;0;;38.706;0;38.601;0;37.769;0;120.1;24:27.924;14:30:16.747;0:38.706;0:38.601;0:37.769;185.2;;Am;;Toyota Gazoo Racing;GF;38.706;38.601;37.769;16.143;16.143;22.563;38.706;15.9;54.606;22.701;1:17.307;14.344;1:31.651;23.425;1:55.076
113;1;12;1:53.877;0;;38.923;0;37.291;0;37.663;2;121.3;26:21.801;14:32:10.624;0:38.923;0:37.291;0:37.663;187.2;;Am;;Toyota Gazoo Racing;GF;38.923;37.291;37.663;15.739;15.739;23.184;38.923;15.657;54.580;21.634;1:16.214;14.215;1:30.429;23.448;1:53.877
113;1;13;1:53.303;2;;38.166;0;37.242;2;37.895;0;122.0;28:15.104;14:34:03.927;0:38.166;0:37.242;0:37.895;187.2;;Am;;Toyota Gazoo Racing;GF;38.166;37.242;37.895;15.778;15.778;22.388;38.166;15.532;53.698;21.71;1:15.408;14.449;1:29.857;23.446;1:53.303
113;1;14;1:53.641;0;;37.899;0;37.554;0;38.188;0;121.6;30:08.745;14:35:57.568;0:37.899;0:37.554;0:38.188;187.2;;Am;;Toyota Gazoo Racing;GF;37.899;37.554;38.188;15.621;15.621;22.278;37.899;15.671;53.570;21.883;1:15.453;14.388;1:29.841;23.8;1:53.641
113;1;15;1:54.927;0;;39.463;0;37.297;0;38.167;0;120.2;32:03.672;14:37:52.495;0:39.463;0:37.297;0:38.167;186.2;;Am;;Toyota Gazoo Racing;GF;39.463;37.297;38.167;16.210;16.210;23.253;39.463;15.485;54.948;21.812;1:16.760;14.543;1:31.303;23.624;1:54.927
113;1;16;1:53.605;0;;37.909;0;37.871;0;37.825;0;121.6;33:57.277;14:39:46.100;0:37.909;0:37.871;0:37.825;186.2;;Am;;Toyota Gazoo Racing;GF;37.909;37.871;37.825;15.616;15.616;22.293;37.909;15.943;53.852;21.928;1:15.780;14.402;1:30.182;23.423;1:53.605
113;1;17;1:53.345;0;;37.780;2;37.611;0;37.954;0;121.9;35:50.622;14:41:39.445;0:37.780;0:37.611;0:37.954;187.2;;Am;;Toyota Gazoo Racing;GF;37.78;37.611;37.954;15.596;15.596;22.184;37.780;15.445;53.225;22.166;1:15.391;14.443;1:29.834;23.511;1:53.345
113;1;18;1:54.937;0;;38.158;0;37.360;0;39.419;0;120.2;37:45.559;14:43:34.382;0:38.158;0:37.360;0:39.419;186.2;;Am;;Toyota Gazoo Racing;GF;38.158;37.36;39.419;15.596;15.596;22.562;38.158;15.516;53.674;21.844;1:15.518;15.856;1:31.374;23.563;1:54.937
113;1;19;1:53.393;0;;38.047;0;37.375;0;37.971;0;121.9;39:38.952;14:45:27.775;0:38.047;0:37.375;0:37.971;188.2;;Am;;Toyota Gazoo Racing;GF;38.047;37.375;37.971;15.734;15.734;22.313;38.047;15.512;53.559;21.863;1:15.422;14.357;1:29.779;23.614;1:53.393
113;1;20;1:55.197;0;;39.256;0;37.901;0;38.040;0;119.9;41:34.149;14:47:22.972;0:39.256;0:37.901;0:38.040;186.2;;Am;;Toyota Gazoo Racing;GF;39.256;37.901;38.04;15.809;15.809;23.447;39.256;15.562;54.818;22.339;1:17.157;14.44;1:31.597;23.6;1:55.197
113;1;21;1:53.905;0;;38.069;0;37.740;0;38.096;0;121.3;43:28.054;14:49:16.877;0:38.069;0:37.740;0:38.096;186.2;;Am;;Toyota Gazoo Racing;GF;38.069;37.74;38.096;15.796;15.796;22.273;38.069;15.783;53.852;21.957;1:15.809;14.434;1:30.243;23.662;1:53.905
113;1;22;1:54.294;0;;38.330;0;37.585;0;38.379;0;120.9;45:22.348;14:51:11.171;0:38.330;0:37.585;0:38.379;186.2;;Am;;Toyota Gazoo Racing;GF;38.33;37.585;38.379;15.815;15.815;22.515;38.330;15.744;54.074;21.841;1:15.915;14.706;1:30.621;23.673;1:54.294
113;1;23;1:54.350;0;;38.503;0;37.597;0;38.250;0;120.8;47:16.698;14:53:05.521;0:38.503;0:37.597;0:38.250;185.2;;Am;;Toyota Gazoo Racing;FF;38.503;37.597;38.25;15.909;15.909;22.594;38.503;15.611;54.114;21.986;1:16.100;14.439;1:30.539;23.811;1:54.350
12;1;1;2:45.836;0;;1:11.203;0;47.617;0;47.016;0;83.3;2:45.836;14:08:34.659;1:11.203;0:47.617;0:47.016;169.0;;Am;;Toyota Gazoo Racing;GF;71.203;47.617;47.016;;;;1:11.203;19.757;1:30.960;27.86;1:58.820;20.526;2:19.346;26.49;2:45.836
12;1;2;2:04.799;0;;43.154;0;40.702;0;40.943;0;110.7;4:50.635;14:10:39.458;0:43.154;0:40.702;0:40.943;177.0;;Am;;Toyota Gazoo Racing;GF;43.154;40.702;40.943;18.691;18.691;24.463;43.154;16.348;59.502;24.354;1:23.856;16.365;1:40.221;24.578;2:04.799
12;1;3;1:59.779;0;;40.862;0;39.334;0;39.583;0;115.4;6:50.414;14:12:39.237;0:40.862;0:39.334;0:39.583;179.1;;Am;;Toyota Gazoo Racing;GF;40.862;39.334;39.583;16.772;16.772;24.09;40.862;16.114;56.976;23.22;1:20.196;14.99;1:35.186;24.593;1:59.779
12;1;4;1:59.214;0;;40.231;0;39.477;0;39.506;0;115.9;8:49.628;14:14:38.451;0:40.231;0:39.477;0:39.506;177.0;;Am;;Toyota Gazoo Racing;GF;40.231;39.477;39.506;16.649;16.649;23.582;40.231;16.241;56.472;23.236;1:19.708;14.962;1:34.670;24.544;1:59.214
12;1;5;2:01.166;0;;40.977;0;40.904;0;39.285;0;114.0;10:50.794;14:16:39.617;0:40.977;0:40.904;0:39.285;176.2;;Am;;Toyota Gazoo Racing;FCY;40.977;40.904;39.285;16.669;16.669;24.308;40.977;16.482;57.459;24.422;1:21.881;14.957;1:36.838;24.328;2:01.166
12;1;6;2:50.405;0;;59.021;0;1:02.306;0;49.078;0;81.1;13:41.199;14:19:30.022;0:59.021;1:02.306;0:49.078;172.2;;Am;;Toyota Gazoo Racing;FCY;59.021;62.306;49.078;19.096;19.096;39.925;59.021;32.047;1:31.068;30.259;2:01.327;16.364;2:17.691;32.714;2:50.405
12;1;7;2:47.504;0;;56.464;0;59.460;0;51.580;0;82.5;16:28.703;14:22:17.526;0:56.464;0:59.460;0:51.580;142.1;;Am;;Toyota Gazoo Racing;FCY;56.464;59.46;51.58;22.450;22.450;34.014;56.464;28.695;1:25.159;30.765;1:55.924;21.271;2:17.195;30.309;2:47.504
12;1;8;2:24.360;0;;48.170;0;50.061;0;46.129;0;95.7;18:53.063;14:24:41.886;0:48.170;0:50.061;0:46.129;170.1;;Am;;Toyota Gazoo Racing;GF;48.17;50.061;46.129;22.310;22.310;25.86;48.170;23.685;1:11.855;26.376;1:38.231;15.572;1:53.803;30.557;2:24.360
12;1;9;2:00.050;0;;41.356;0;39.629;0;39.065;0;115.1;20:53.113;14:26:41.936;0:41.356;0:39.629;0:39.065;180.0;;Am;;Toyota Gazoo Racing;GF;41.356;39.629;39.065;17.638;17.638;23.718;41.356;16.526;57.882;23.103;1:20.985;14.715;1:35.700;24.35;2:00.050
12;1;10;1:58.651;0;;40.470;0;38.918;0;39.263;0;116.5;22:51.764;14:28:40.587;0:40.470;0:38.918;0:39.263;180.0;;Am;;Toyota Gazoo Racing;GF;40.47;38.918;39.263;17.007;17.007;23.463;40.470;16.126;56.596;22.792;1:19.388;14.917;1:34.305;24.346;1:58.651
12;1;11;1:58.405;0;;40.286;0;38.655;0;39.464;0;116.7;24:50.169;14:30:38.992;0:40.286;0:38.655;0:39.464;180.0;;Am;;Toyota Gazoo Racing;GF;40.286;38.655;39.464;16.618;16.618;23.668;40.286;16.035;56.321;22.62;1:18.941;15.053;1:33.994;24.411;1:58.405
12;1;12;1:58.553;0;;40.693;0;38.851;0;39.009;0;116.6;26:48.722;14:32:37.545;0:40.693;0:38.851;0:39.009;180.0;;Am;;Toyota Gazoo Racing;GF;40.693;38.851;39.009;16.671;16.671;24.022;40.693;16.165;56.858;22.686;1:19.544;14.84;1:34.384;24.169;1:58.553
12;1;13;1:57.630;0;;39.824;0;38.951;0;38.855;0;117.5;28:46.352;14:34:35.175;0:39.824;0:38.951;0:38.855;181.2;;Am;;Toyota Gazoo Racing;GF;39.824;38.951;38.855;16.546;16.546;23.278;39.824;16.244;56.068;22.707;1:18.775;14.833;1:33.608;24.022;1:57.630
12;1;14;1:56.580;0;;39.054;2;38.359;0;39.167;0;118.5;30:42.932;14:36:31.755;0:39.054;0:38.359;0:39.167;180.0;;Am;;Toyota Gazoo Racing;GF;39.054;38.359;39.167;16.123;16.123;22.931;39.054;15.645;54.699;22.714;1:17.413;14.793;1:32.206;24.374;1:56.580
