NUMBER;VEHICLE;CLASS;TOTAL_DRIVER_LAPS;BESTLAP_1;BESTLAP_1_LAPNUM;BESTLAP_2;BESTLAP_2_LAPNUM;BESTLAP_3;BESTLAP_3_LAPNUM;BESTLAP_4;BESTLAP_4_LAPNUM;BESTLAP_5;BESTLAP_5_LAPNUM;BESTLAP_6;BESTLAP_6_LAPNUM;BESTLAP_7;BESTLAP_7_LAPNUM;BESTLAP_8;BESTLAP_8_LAPNUM;BESTLAP_9;BESTLAP_9_LAPNUM;BESTLAP_10;BESTLAP_10_LAPNUM;AVERAGE
13;Toyota GR86;Am;22;1:52.961;20;1:53.092;17;1:53.105;21;1:53.203;19;1:53.263;18;1:53.806;16;1:53.861;10;1:53.981;11;1:54.569;6;1:55.052;15;1:53.689
46;Toyota GR86;Am;5;1:54.467;4;1:54.497;3;1:54.558;5;1:56.988;2;;0;;0;;0;;0;;0;;0;1:55.127
7;Toyota GR86;Am;22;1:52.521;16;1:52.548;20;1:52.703;17;1:52.716;21;1:53.069;19;1:53.146;9;1:53.188;18;1:53.199;11;1:53.341;15;1:53.507;6;1:52.993
2;Toyota GR86;Am;22;1:52.615;16;1:52.619;21;1:52.765;20;1:52.793;17;1:52.850;19;1:52.926;9;1:53.047;11;1:53.078;18;1:53.323;15;1:53.546;5;1:52.956
71;Toyota GR86;Am;22;1:53.063;19;1:53.129;20;1:53.171;18;1:53.264;17;1:53.587;9;1:53.765;11;1:53.838;21;1:53.979;15;1:54.106;3;1:54.121;5;1:53.602
14;Toyota GR86;Am;22;1:53.780;18;1:53.787;21;1:53.866;17;1:54.239;19;1:54.257;10;1:54.266;16;1:54.407;11;1:54.440;20;1:54.861;6;1:55.511;3;1:54.341
73;Toyota GR86;Am;21;1:54.305;20;1:54.430;19;1:54.501;18;1:55.943;17;1:55.963;10;1:56.103;6;1:56.246;11;1:56.550;15;1:56.783;5;1:56.814;4;1:55.763
78;Toyota GR86;Am;21;1:53.081;17;1:53.105;19;1:53.273;18;1:53.355;20;1:53.455;9;1:53.468;11;1:53.818;21;1:53.844;6;1:53.864;15;1:53.958;5;1:53.522
31;Toyota GR86;Am;22;1:53.531;19;1:53.653;21;1:53.722;17;1:53.769;11;1:53.871;20;1:54.498;10;1:54.687;6;1:54.738;18;1:54.920;16;1:54.998;5;1:54.238
21;Toyota GR86;Am;22;1:53.712;20;1:54.245;18;1:54.613;17;1:55.034;21;1:55.410;16;1:55.602;6;1:56.060;10;1:56.130;11;1:56.397;15;1:56.499;19;1:55.370
67;Toyota GR86;Am;22;1:54.908;20;1:55.253;18;1:55.257;19;1:55.484;15;1:55.906;11;1:56.357;22;1:56.466;6;1:56.549;10;1:56.852;4;1:57.027;3;1:56.005
41;Toyota GR86;Am;22;1:54.354;6;1:55.403;19;1:55.665;17;1:55.689;18;1:55.826;20;1:56.179;11;1:56.449;10;1:56.471;15;1:56.667;5;1:56.773;21;1:55.947
47;Toyota GR86;Am;22;1:53.157;18;1:53.623;17;1:54.050;11;1:54.068;10;1:54.145;19;1:54.199;16;1:54.261;20;1:54.482;21;1:54.614;22;1:54.786;6;1:54.138
12;Toyota GR86;Am;22;1:57.719;17;1:57.825;18;1:57.981;19;1:58.128;15;1:58.761;10;1:58.872;20;1:58.878;16;1:59.221;21;1:59.462;5;1:59.552;4;1:58.639
5;Toyota GR86;Am;10;1:56.932;4;1:57.275;3;1:58.288;10;1:59.838;5;1:59.994;2;2:03.020;9;2:07.753;6;2:12.311;7;2:19.052;8;;0;2:03.829
