NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;PIT_TIME;CLASS;GROUP;MANUFACTURER;FLAG_AT_FL;S1_SECONDS;S2_SECONDS;S3_SECONDS;IM1a_time;IM1a_elapsed;IM1_time;IM1_elapsed;IM2a_time;IM2a_elapsed;IM2_time;IM2_elapsed;IM3a_time;IM3a_elapsed;FL_time;FL_elapsed
3;1;11;1:39.955;0;;27.213;0;43.483;0;29.259;0;133.3;19:24.452;14:00:05.606;0:27.213;0:43.483;0:29.259;184.3;;Am;;Toyota Gazoo Racing;GF;27.213;43.483;29.259;17.267;17.267;9.946;27.213;30.703;57.916;12.78;1:10.696;11.195;1:21.891;18.064;1:39.955
3;1;12;1:40.084;0;;27.2;0;43.309;0;29.575;0;133.1;21:04.536;14:01:45.690;0:27.200;0:43.309;0:29.575;184.3;;Am;;Toyota Gazoo Racing;GF;27.2;43.309;29.575;17.303;17.303;9.897;27.2;30.541;57.741;12.768;1:10.509;11.306;1:21.815;18.269;1:40.084
3;1;13;1:40.207;0;;27.397;0;43.354;0;29.456;0;133.0;22:44.743;14:03:25.897;0:27.397;0:43.354;0:29.456;184.3;;Am;;Toyota Gazoo Racing;GF;27.397;43.354;29.456;17.497;17.497;9.9;27.397;30.551;57.948;12.803;1:10.751;11.337;1:22.088;18.119;1:40.207
3;1;14;1:39.817;0;;27.189;0;43.148;0;29.480;0;133.5;24:24.560;14:05:05.714;0:27.189;0:43.148;0:29.480;183.1;;Am;;Toyota Gazoo Racing;GF;27.189;43.148;29.48;17.294;17.294;9.895;27.189;30.376;57.565;12.772;1:10.337;11.366;1:21.703;18.114;1:39.817
3;1;15;1:39.710;0;;27.062;0;43.475;0;29.173;0;133.6;26:04.270;14:06:45.424;0:27.062;0:43.475;0:29.173;183.1;;Am;;Toyota Gazoo Racing;GF;27.062;43.475;29.173;17.229;17.229;9.833;27.062;30.689;57.751;12.786;1:10.537;11.05;1:21.587;18.123;1:39.710
3;1;16;1:40.182;0;;27.224;0;43.813;0;29.145;0;133.0;27:44.452;14:08:25.606;0:27.224;0:43.813;0:29.145;181.2;;Am;;Toyota Gazoo Racing;GF;27.224;43.813;29.145;17.378;17.378;9.846;27.224;30.953;58.177;12.86;1:11.037;11.127;1:22.164;18.018;1:40.182
3;1;17;1:40.248;0;;27.186;0;43.530;0;29.532;0;132.9;29:24.700;14:10:05.854;0:27.186;0:43.530;0:29.532;182.1;;Am;;Toyota Gazoo Racing;GF;27.186;43.53;29.532;17.291;17.291;9.895;27.186;30.691;57.877;12.839;1:10.716;11.245;1:21.961;18.287;1:40.248
3;1;18;1:39.611;0;;27.203;0;43.255;0;29.153;0;133.8;31:04.311;14:11:45.465;0:27.203;0:43.255;0:29.153;182.1;;Am;;Toyota Gazoo Racing;GF;27.203;43.255;29.153;17.306;17.306;9.897;27.203;30.423;57.626;12.832;1:10.458;11.11;1:21.568;18.043;1:39.611
3;1;19;1:39.790;0;;27.195;0;43.540;0;29.055;2;133.5;32:44.101;14:13:25.255;0:27.195;0:43.540;0:29.055;181.2;;Am;;Toyota Gazoo Racing;GF;27.195;43.54;29.055;17.246;17.246;9.949;27.195;30.664;57.859;12.876;1:10.735;11.038;1:21.773;18.017;1:39.790
3;1;20;1:39.552;0;;27.16;0;43.247;0;29.145;0;133.9;34:23.653;14:15:04.807;0:27.160;0:43.247;0:29.145;182.1;;Am;;Toyota Gazoo Racing;GF;27.16;43.247;29.145;17.289;17.289;9.871;27.16;30.434;57.594;12.813;1:10.407;11.04;1:21.447;18.105;1:39.552
3;1;21;1:39.805;0;;27.201;0;43.335;0;29.269;0;133.5;36:03.458;14:16:44.612;0:27.201;0:43.335;0:29.269;181.2;;Am;;Toyota Gazoo Racing;GF;27.201;43.335;29.269;17.361;17.361;9.84;27.201;30.509;57.710;12.826;1:10.536;11.084;1:21.620;18.185;1:39.805
3;1;22;1:39.982;0;;27.435;0;43.165;0;29.382;0;133.3;37:43.440;14:18:24.594;0:27.435;0:43.165;0:29.382;182.1;;Am;;Toyota Gazoo Racing;GF;27.435;43.165;29.382;17.635;17.635;9.8;27.435;30.431;57.866;12.734;1:10.600;11.296;1:21.896;18.086;1:39.982
3;1;23;1:40.296;0;;27.128;0;43.856;0;29.312;0;132.9;39:23.736;14:20:04.890;0:27.128;0:43.856;0:29.312;182.1;;Am;;Toyota Gazoo Racing;GF;27.128;43.856;29.312;17.326;17.326;9.802;27.128;30.983;58.111;12.873;1:10.984;11.32;1:22.304;17.992;1:40.296
3;1;24;1:39.975;0;;27.268;0;43.240;0;29.467;0;133.3;41:03.711;14:21:44.865;0:27.268;0:43.240;0:29.467;181.2;;Am;;Toyota Gazoo Racing;GF;27.268;43.24;29.467;17.35;17.35;9.918;27.268;30.378;57.646;12.862;1:10.508;11.307;1:21.815;18.160;1:39.975
3;1;25;1:40.126;0;;27.333;0;43.397;0;29.396;0;133.1;42:43.837;14:23:24.991;0:27.333;0:43.397;0:29.396;181.2;;Am;;Toyota Gazoo Racing;GF;27.333;43.397;29.396;17.438;17.438;9.895;27.333;30.537;57.870;12.86;1:10.730;11.136;1:21.866;18.260;1:40.126
3;1;26;1:39.690;0;;27.245;0;43.260;0;29.185;0;133.7;44:23.527;14:25:04.681;0:27.245;0:43.260;0:29.185;182.1;;Am;;Toyota Gazoo Racing;GF;27.245;43.26;29.185;17.352;17.352;9.893;27.245;30.375;57.620;12.885;1:10.505;11.161;1:21.666;18.024;1:39.690
3;1;27;1:40.083;0;;27.185;0;43.294;0;29.604;0;133.1;46:03.610;14:26:44.764;0:27.185;0:43.294;0:29.604;182.1;;Am;;Toyota Gazoo Racing;FF;27.185;43.294;29.604;17.263;17.263;9.922;27.185;30.469;57.654;12.825;1:10.479;11.375;1:21.854;18.229;1:40.083
111;1;1;1:48.689;0;;30.383;0;43.274;0;35.032;0;122.6;1:48.689;13:42:29.843;0:30.383;0:43.274;0:35.032;183.1;;Am;;Toyota Gazoo Racing;FCY;30.383;43.274;35.032;20.422;20.422;9.961;30.383;30.477;1:00.860;12.797;1:13.657;11.447;1:25.104;23.585;1:48.689
111;1;2;2:14.812;0;;38.613;0;58.871;0;37.328;0;98.8;4:03.501;13:44:44.655;0:38.613;0:58.871;0:37.328;134.2;;Am;;Toyota Gazoo Racing;FCY;38.613;58.871;37.328;21.089;21.089;17.524;38.613;37.929;1:16.542;20.942;1:37.484;13.329;1:50.813;23.999;2:14.812
111;1;3;1:59.471;0;;33.508;0;51.094;0;34.869;0;111.5;6:02.972;13:46:44.126;0:33.508;0:51.094;0:34.869;140.1;;Am;;Toyota Gazoo Racing;GF;33.508;51.094;34.869;20.292;20.292;13.216;33.508;34.533;1:08.041;16.561;1:24.602;13.77;1:38.372;21.099;1:59.471
111;1;4;1:40.847;0;;27.349;0;44.511;0;28.987;0;132.1;7:43.819;13:48:24.973;0:27.349;0:44.511;0:28.987;182.1;;Am;;Toyota Gazoo Racing;GF;27.349;44.511;28.987;17.336;17.336;10.013;27.349;31.665;59.014;12.846;1:11.860;11.138;1:22.998;17.849;1:40.847
111;1;5;1:39.289;0;;26.947;0;43.040;0;29.302;0;134.2;9:23.108;13:50:04.262;0:26.947;0:43.040;0:29.302;183.1;;Am;;Toyota Gazoo Racing;GF;26.947;43.04;29.302;17.075;17.075;9.872;26.947;30.244;57.191;12.796;1:09.987;11.242;1:21.229;18.060;1:39.289
111;1;6;1:39.506;0;;26.956;0;43.176;0;29.374;0;133.9;11:02.614;13:51:43.768;0:26.956;0:43.176;0:29.374;183.1;;Am;;Toyota Gazoo Racing;GF;26.956;43.176;29.374;17.074;17.074;9.882;26.956;30.389;57.345;12.787;1:10.132;11.322;1:21.454;18.052;1:39.506
111;1;7;1:39.141;0;;27.094;0;42.972;0;29.075;0;134.4;12:41.755;13:53:22.909;0:27.094;0:42.972;0:29.075;182.1;;Am;;Toyota Gazoo Racing;GF;27.094;42.972;29.075;17.255;17.255;9.839;27.094;30.171;57.265;12.801;1:10.066;11.199;1:21.265;17.876;1:39.141
111;1;8;1:39.301;0;;27.148;0;43.022;0;29.131;0;134.2;14:21.056;13:55:02.210;0:27.148;0:43.022;0:29.131;184.3;;Am;;Toyota Gazoo Racing;GF;27.148;43.022;29.131;17.239;17.239;9.909;27.148;30.254;57.402;12.768;1:10.170;11.229;1:21.399;17.902;1:39.301
111;1;9;1:39.056;0;;27.132;0;42.952;0;28.972;0;134.5;16:00.112;13:56:41.266;0:27.132;0:42.952;0:28.972;184.3;;Am;;Toyota Gazoo Racing;GF;27.132;42.952;28.972;17.247;17.247;9.885;27.132;30.201;57.333;12.751;1:10.084;11.06;1:21.144;17.912;1:39.056
111;1;10;1:39.210;0;;27.035;0;42.957;0;29.218;0;134.3;17:39.322;13:58:20.476;0:27.035;0:42.957;0:29.218;184.3;;Am;;Toyota Gazoo Racing;GF;27.035;42.957;29.218;17.178;17.178;9.857;27.035;30.224;57.259;12.733;1:09.992;11.297;1:21.289;17.921;1:39.210
111;1;11;1:40.034;0;;27.494;0;43.235;0;29.305;0;133.2;19:19.356;14:00:00.510;0:27.494;0:43.235;0:29.305;182.1;;Am;;Toyota Gazoo Racing;GF;27.494;43.235;29.305;17.566;17.566;9.928;27.494;30.43;57.924;12.805;1:10.729;11.275;1:22.004;18.030;1:40.034
111;1;12;1:39.394;0;;27.066;0;43.371;0;28.957;0;134.1;20:58.750;14:01:39.904;0:27.066;0:43.371;0:28.957;183.1;;Am;;Toyota Gazoo Racing;GF;27.066;43.371;28.957;17.207;17.207;9.859;27.066;30.643;57.709;12.728;1:10.437;11.072;1:21.509;17.885;1:39.394
111;1;13;1:39.283;0;;27.002;0;43.081;0;29.200;0;134.2;22:38.033;14:03:19.187;0:27.002;0:43.081;0:29.200;183.1;;Am;;Toyota Gazoo Racing;GF;27.002;43.081;29.2;17.186;17.186;9.816;27.002;30.357;57.359;12.724;1:10.083;11.137;1:21.220;18.063;1:39.283
111;1;14;1:39.571;0;;27.276;0;43.186;0;29.109;0;133.8;24:17.604;14:04:58.758;0:27.276;0:43.186;0:29.109;183.1;;Am;;Toyota Gazoo Racing;GF;27.276;43.186;29.109;17.408;17.408;9.868;27.276;30.413;57.689;12.773;1:10.462;11.194;1:21.656;17.915;1:39.571
111;1;15;1:39.745;0;;27.371;0;43.156;0;29.218;0;133.6;25:57.349;14:06:38.503;0:27.371;0:43.156;0:29.218;183.1;;Am;;Toyota Gazoo Racing;GF;27.371;43.156;29.218;17.524;17.524;9.847;27.371;30.372;57.743;12.784;1:10.527;11.2;1:21.727;18.018;1:39.745
111;1;16;1:39.698;0;;27.225;0;43.359;0;29.114;0;133.7;27:37.047;14:08:18.201;0:27.225;0:43.359;0:29.114;182.1;;Am;;Toyota Gazoo Racing;GF;27.225;43.359;29.114;17.343;17.343;9.882;27.225;30.508;57.733;12.851;1:10.584;11.103;1:21.687;18.011;1:39.698
111;1;17;1:41.763;0;;27.216;0;44.830;0;29.717;0;130.9;29:18.810;14:09:59.964;0:27.216;0:44.830;0:29.717;181.2;;Am;;Toyota Gazoo Racing;GF;27.216;44.83;29.717;17.306;17.306;9.91;27.216;31.899;59.115;12.931;1:12.046;11.235;1:23.281;18.482;1:41.763
111;1;18;1:39.655;0;;27.297;0;43.194;0;29.164;0;133.7;30:58.465;14:11:39.619;0:27.297;0:43.194;0:29.164;183.1;;Am;;Toyota Gazoo Racing;GF;27.297;43.194;29.164;17.351;17.351;9.946;27.297;30.42;57.717;12.774;1:10.491;11.194;1:21.685;17.970;1:39.655
111;1;19;1:39.208;0;;27.025;0;43.001;0;29.182;0;134.3;32:37.673;14:13:18.827;0:27.025;0:43.001;0:29.182;184.3;;Am;;Toyota Gazoo Racing;GF;27.025;43.001;29.182;17.174;17.174;9.851;27.025;30.257;57.282;12.744;1:10.026;11.215;1:21.241;17.967;1:39.208
111;1;20;1:39.708;0;;27.014;0;43.631;0;29.063;0;133.6;34:17.381;14:14:58.535;0:27.014;0:43.631;0:29.063;184.3;;Am;;Toyota Gazoo Racing;GF;27.014;43.631;29.063;17.242;17.242;9.772;27.014;30.903;57.917;12.728;1:10.645;11.077;1:21.722;17.986;1:39.708
111;1;21;1:39.214;0;;27.1;0;43.004;0;29.110;0;134.3;35:56.595;14:16:37.749;0:27.100;0:43.004;0:29.110;183.1;;Am;;Toyota Gazoo Racing;GF;27.1;43.004;29.11;17.22;17.22;9.88;27.1;30.267;57.367;12.737;1:10.104;11.07;1:21.174;18.040;1:39.214
111;1;22;1:39.027;0;;27.053;0;42.904;2;29.070;0;134.6;37:35.622;14:18:16.776;0:27.053;0:42.904;0:29.070;184.3;;Am;;Toyota Gazoo Racing;GF;27.053;42.904;29.07;17.199;17.199;9.854;27.053;30.216;57.269;12.688;1:09.957;10.948;1:20.905;18.122;1:39.027
